Area,0-2 years,3-6 years,7-12 years,13-15 years,16-17 years,18-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years or over
Mynamaki,0.026010817,0.037857328,0.06644347,0.03425187,0.02266289,0.023693021,0.03669843,0.03875869,0.052021634,0.058073655,0.058073655,0.060906515,0.07442699,0.08086531,0.07223796,0.074298225,0.07223796,0.041462786,0.0341231,0.0348957
Naantali,0.022031697,0.03850351,0.06942063,0.036061313,0.02312289,0.021667967,0.036113277,0.036684852,0.04427124,0.056793973,0.06567939,0.06651078,0.07872175,0.07789036,0.07752663,0.07950117,0.072226554,0.043855548,0.027695505,0.025720967
Nousiainen,0.02810057,0.053877033,0.087259665,0.04352419,0.02725544,0.020916967,0.030002113,0.040566236,0.054933447,0.07204733,0.08535812,0.057468835,0.07162476,0.06613142,0.06718783,0.06444116,0.05091908,0.03148109,0.020705683,0.026199028
Oripaa,0.02346041,0.044721406,0.07478006,0.049853373,0.025659824,0.021994134,0.03005865,0.044721406,0.049120236,0.05645161,0.053519063,0.06158358,0.0542522,0.07111437,0.07697947,0.066715546,0.069648094,0.035923753,0.04032258,0.049120236
Paimio,0.03415805,0.05354505,0.07920975,0.03738922,0.021787297,0.020864107,0.033604138,0.04375923,0.06286927,0.07468612,0.06997784,0.062038403,0.06240768,0.064900294,0.06573117,0.06656204,0.06277696,0.033881094,0.023725998,0.026126292
Pyharanta,0.020710059,0.040433925,0.06508876,0.026134122,0.025641026,0.018244576,0.039447732,0.03846154,0.042899407,0.057692308,0.051775146,0.058185406,0.081854045,0.07642998,0.07790927,0.09171598,0.07495069,0.044378698,0.03550296,0.03254438
Poytya,0.027841114,0.051122043,0.0774031,0.0399616,0.022320893,0.02076083,0.032641307,0.04356174,0.05472219,0.05952238,0.06024241,0.0600024,0.067682706,0.07068282,0.06396256,0.07416297,0.06552262,0.04152166,0.03276131,0.033601344
Raisio,0.027793862,0.04326247,0.065307304,0.031723052,0.022251634,0.022665232,0.046612624,0.05215485,0.060716353,0.062081233,0.061915793,0.060550913,0.07494416,0.07577136,0.07018778,0.06567954,0.060799073,0.037058484,0.031557616,0.026966663
Rusko,0.03231483,0.05743081,0.08078708,0.040953446,0.02719565,0.02255639,0.031035034,0.037913933,0.0531115,0.08078708,0.07678772,0.0662294,0.08014718,0.06318989,0.06111022,0.06254999,0.053591426,0.028155494,0.023036314,0.021116622
Salo,0.020355115,0.03589381,0.06827087,0.034135435,0.023757191,0.022075266,0.03899008,0.042602398,0.04866115,0.05544619,0.06372202,0.06393226,0.075419046,0.06911183,0.074042924,0.07717742,0.07289616,0.04564133,0.034441236,0.03342826
